alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759218134.1287,elite,110.35483637748,1742397232.4043,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762849292,1762954708.2977,80,http,http://185.221.160.121:80,false,109.62295532227,80588,3348,96.011246664125,185.221.160.121
true,1758180801.9523,elite,110.02183745369,1742475427.4985,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762849065,1762954708.2944,80,http,http://170.114.45.92:80,false,58.210611343384,80202,3273,96.0790655885,170.114.45.92
true,1758183683.5862,elite,111.2916214494,1742392417.3796,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762848788,1762954708.231,80,http,http://45.67.215.163:80,false,162.43553161621,80878,4000,95.287353613422,45.67.215.163
true,1758181136.9829,elite,120.56590092654,1756297317.8389,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762951501,1762954708.1153,80,http,http://170.114.45.48:80,false,64.469337463379,44325,99,99.777147487844,170.114.45.48
true,1761067256.2801,elite,137.5664944983,1761067256.2801,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762881977,1762954707.9877,80,http,http://141.101.115.204:80,false,257.18116760254,13282,0,100,141.101.115.204
true,1758185245.0508,elite,109.9340237076,1742650675.2759,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762849155,1762954707.9222,80,http,http://185.221.160.222:80,false,50.257205963135,80686,3223,96.158934083352,185.221.160.222
true,1757591720.8808,elite,115.60312415874,1754411094.3711,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762880184,1762954707.5854,80,http,http://108.162.193.188:80,false,193.3331489563,59225,33,99.944311316615,108.162.193.188
true,1758186185.6044,elite,110.91412635594,1742496483.2515,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762849521,1762954707.1286,80,http,http://170.114.45.12:80,false,39.990663528442,80329,3209,96.158634393929,170.114.45.12
true,1759208480.2149,elite,111.19188689817,1742412196.994,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762849313,1762954706.9551,80,http,http://216.205.52.255:80,false,25.221109390259,80653,1018,98.753535526686,216.205.52.255
true,1761066803.2166,elite,140.97244258181,1761066803.2166,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762881440,1762954706.8831,80,http,http://141.101.114.191:80,false,67.285299301147,13309,0,100,141.101.114.191
true,1761573060.0286,elite,121.75537120489,1756297440.9127,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762951250,1762954706.8822,80,http,http://45.67.215.228:80,false,49.531221389771,44877,96,99.786538589821,45.67.215.228
